ID1	ID2	TITLE1	TITLE2	UNCERTAINTY
11516099	1100174661	Smartphone Motorola Moto Z2 Play Sound Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11516099	1100178494	Smartphone Motorola Moto Z2 Play Sound Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone  Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11516101	11516103	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	0
11516101	11811144	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	0
11516101	989085729	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Polaroid Edition Dualchip	3
11516101	1025208041	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Motorola Xt1710 Moto Z2 Play Dual Chip 64gb Original | Novo	2
11516101	1029075911	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular Smartphone Motorola Moto Z2 Play 64gb Gold Xt1710-08	2
11516101	1043437119	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular New 100% Original Motorola Moto Z2 Play 64gb Xt1710	2
11516101	1080679988	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Xt1710 4gb/64gb 5.5'' Dual	1
11516101	1100174661	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
